subject,relationship,object,note_id,note_title
Dev environment,uses,ADP,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,uses,Beekeeper,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,requires,Confluence page,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,uses,Ruby Sass 3.7.4,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Dev environment,should set,DEBUG=False on develop server,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Ruby package,is,less,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Ruby Sass 3.7.4,is used for,compiling scss files,864d73ef-62d6-439e-a728-b79d5181cbd9,"Dev environment validation - Dec 1, 2023"
Redis,is run as,redis user,b6b79846-174b-4841-a955-84d92bc8b394,Redis Failed to Start
running,was successful,redis-server manually,b6b79846-174b-4841-a955-84d92bc8b394,Redis Failed to Start
Redis service,failed to start,after a reboot,b6b79846-174b-4841-a955-84d92bc8b394,Redis Failed to Start
current log file,was owned by,bucketlist user,b6b79846-174b-4841-a955-84d92bc8b394,Redis Failed to Start
Solution,involves,sudo chown redis:redis /var/log/redis/redis-server.log,b6b79846-174b-4841-a955-84d92bc8b394,Redis Failed to Start
Bianca,uses,JavaScript,04b05a80-761a-42c4-8a48-008bac5f9dba,Bianca
Bianca,uses,Node.js,04b05a80-761a-42c4-8a48-008bac5f9dba,Bianca
Bianca,uses,Python,04b05a80-761a-42c4-8a48-008bac5f9dba,Bianca
Bianca,is looking for,DevOps Engineer role,04b05a80-761a-42c4-8a48-008bac5f9dba,Bianca
we,are questioning readiness to deploy,Crowdstrike on dev,6bb2e952-5dc1-4906-9d41-a6d824fa9117,Alaadin
Ansible,manages,groups,6bb2e952-5dc1-4906-9d41-a6d824fa9117,Alaadin
you,used,CSS selectors,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,used,XPath selectors,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,used,sleep,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,could inject,sensitive information into tests,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,determine,which tests to automate,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,handle,situation of not completing all tests before release date,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,use,testing technique for deploying a crucial hotfix,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,are familiar with,fuzz testing,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
you,design,Automation framework for testing REST APIs,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
sleep,can be replaced by,alternative methods,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
POM,provides,advantages,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
Software Development Engineer in Test (SDET),has,roles and responsibilities,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
fuzz testing,detects,types of bugs,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
white box testing,differs from,black box testing,d3e7ea06-8eb4-4c3e-ad7c-332ee4e57159,General - SDET - February 2024
Ivan,got frustrated with,Vlad,f302ea9c-5774-4014-a682-be31f06c6f1f,"Vlad - SDET - February 14, 2024"
Vlad,got frustrated with,some questions,f302ea9c-5774-4014-a682-be31f06c6f1f,"Vlad - SDET - February 14, 2024"
Vlad,did not provide,clear answers,f302ea9c-5774-4014-a682-be31f06c6f1f,"Vlad - SDET - February 14, 2024"
Vlad,would not be,a good cultural fit,f302ea9c-5774-4014-a682-be31f06c6f1f,"Vlad - SDET - February 14, 2024"
Vlad,got frustrated with,Ivan,f302ea9c-5774-4014-a682-be31f06c6f1f,"Vlad - SDET - February 14, 2024"
user,lists,aptly packages,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
user,creates,aptly user,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,requires,installation,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,jammy-main mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,jammy-security mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,jammy-updates mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,jammy-main,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,jammy-security,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,jammy-updates,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,focal-main mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,focal-security mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,creates,focal-updates mirror,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,focal-main,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,focal-security,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
aptly,updates,focal-updates,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
instructions,provided at,https://www.aptly.info/download/,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
instructions,provided for,creating snapshot,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
gpg,generates,key,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
gpg,exports,keyring,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
gpg,imports,trustedkeys.gpg,7a85f4f5-8dee-416b-820b-617be622c784,Aptly
Oscar,has been,out of the industry for a while,5ebf4601-76b1-4903-9c61-023e5bb85da1,Oscar
Oscar,shows,signs of being out of the industry,5ebf4601-76b1-4903-9c61-023e5bb85da1,Oscar
Oscar,could not imagine getting along with,Ivan,5ebf4601-76b1-4903-9c61-023e5bb85da1,Oscar
Oscar,is,very long-winded in answers,5ebf4601-76b1-4903-9c61-023e5bb85da1,Oscar
Oscar,is likely,nervous after being out of industry for so long,5ebf4601-76b1-4903-9c61-023e5bb85da1,Oscar
I,had to add,a task,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
DevSec hardening role,added,limit_conn_zone $binary_remote_addr zone=default:10m;,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
DevSec hardening role,added,limit_conn default 5;,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
the task,runs after,the role,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
the task,uses,ansible.builtin.lineinfile,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
ansible.builtin.lineinfile,removes,limit_conn_zone $binary_remote_addr zone=default:10m;,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
ansible.builtin.lineinfile,removes,limit_conn default 5;,0f25eca8-623b-422d-83e6-9f4412877c75,NGINX Rate Limiting
Liam,completed,assignment fantastically,98777ab3-7d98-4109-924f-65fbb3b88ddf,Liam - Job Offer
members,felt,Liam would be a great fit,98777ab3-7d98-4109-924f-65fbb3b88ddf,Liam - Job Offer
Liam's experience,aligns well,with the job requirements,98777ab3-7d98-4109-924f-65fbb3b88ddf,Liam - Job Offer
company,values,mutual fit,98777ab3-7d98-4109-924f-65fbb3b88ddf,Liam - Job Offer
PostgreSQL,should be moved to,separate state file,0501980b-3731-4e63-bd16-8e24046be92b,"User Hub Terraform - February 22, 2024"
we,are considering,network changes,0501980b-3731-4e63-bd16-8e24046be92b,"User Hub Terraform - February 22, 2024"
sandbox,is compared to,other environments,0501980b-3731-4e63-bd16-8e24046be92b,"User Hub Terraform - February 22, 2024"
this,could be placed in,separate AWS account,0501980b-3731-4e63-bd16-8e24046be92b,"User Hub Terraform - February 22, 2024"
Joe,wrote,Collaboration API,9dfd958b-634f-41a6-97c2-274e90f88163,"Joe - February 23, 2024"
Fortigate,is available on,AWS Marketplace,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
Fortigate,costs,$0.383/hr for t2.small,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
Sophos UTM9,is available on,AWS Marketplace,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
Sophos UTM9,costs,$0.123/hr for t2.small,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
Sophos Cloud Firewall,is available on,AWS Marketplace,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
Sophos Cloud Firewall,costs,$0.462/hr for t3.medium,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
OPNsense,is available on,AWS Marketplace,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
OPNsense,costs,$0.063/hr for t2.small,0332166e-11fa-4677-8531-9dabee5d3495,AWS Firewall - Marketplace
opnsense,requires,two network interfaces,119d6aa2-edec-4e62-b0a3-3acb81b94860,"opnsense - February, 2024"
instance,will not work,without two network interfaces,119d6aa2-edec-4e62-b0a3-3acb81b94860,"opnsense - February, 2024"
web UI,will not work,without two network interfaces,119d6aa2-edec-4e62-b0a3-3acb81b94860,"opnsense - February, 2024"
user,restarts,openvpn service,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,adds,route 10.0.0.0 255.0.0.0,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,adds,route-nopull,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,comments out,redirect-gateway def1 bypass-dhcp,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,edits,/etc/openvpn/server.conf,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,sets hostname,openvpn,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,modifies,server configuration file,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,adds,configuration to /etc/openvpn/server.conf,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,accesses,https://github.com/angristan/openvpn-install/,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
sudo,restarts,openvpn service,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
push,configures,redirect-gateway def1,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
push,configures,dhcp-option DNS 169.254.169.253,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
push,configures,dhcp-option DNS 10.200.0.2,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
push,configures,route-nopull,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
push,configures,route 10.0.0.0 255.0.0.0,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,port 1194,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,proto udp,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,dev tun,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,runs as,user nobody,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,runs as,group nogroup,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,persists,key,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,persists,tun,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,keeps alive,connection with keepalive 10 120,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,topology subnet,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,serves,10.8.0.0 255.255.255.0,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,persists,ipp.txt,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,tls-crypt key,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,verifies,crl.pem,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,ca.crt,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,server_hxiiTfrY86WSpI27.crt,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,server_hxiiTfrY86WSpI27.key,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,authenticates with,SHA256,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,encrypts with,AES-128-GCM,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,uses,TLS-ECDHE-ECDSA-WITH-AES-128-GCM-SHA256,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,stores,client configurations in /etc/openvpn/ccd,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,logs status to,/var/log/openvpn/status.log,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
server,requires,IP forwarding,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
openvpn,uses,port 943,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
openvpn,runs on,aws,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
openvpn,runs on,DO,0aa18733-83d1-42a7-8dca-b78d1825e973,OpenVPN
user,decides,accessibility of private subnets to clients,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,decides,default routing of client DNS traffic through the VPN,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,decides,default routing of client traffic through the VPN,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,specifies,TCP port number for OpenVPN Daemon,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,chooses,different user account for login,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,can login as,openvpn,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,authenticates with,host UNIX system,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,specifies,port number for Admin Web UI,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,chooses,public/private type/algorithms for self-signed web certificate,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,chooses,public/private type/algorithms for OpenVPN CA,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,specifies,network interface and IP address,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,provides,configuration settings,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
user,configures,primary Access Server node,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
OpenVPN Access Server,can be configured by,Admin Web UI,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
Admin Web UI,accessed using,Web browser,9063ea55-9dfb-476b-99b2-50c68c3f9371,OpenVPN Access Server
queries,failed to upgrade,legacy queries,751e2a3b-6028-4ea7-a9cf-12d94d587976,"Grafana - ""Failed to upgrade legacy queries”"
casing,needs to be,proper on regex queries,751e2a3b-6028-4ea7-a9cf-12d94d587976,"Grafana - ""Failed to upgrade legacy queries”"
.*user-hub.*,did not work,as intended,751e2a3b-6028-4ea7-a9cf-12d94d587976,"Grafana - ""Failed to upgrade legacy queries”"
.*User-Hub.*,worked,correctly,751e2a3b-6028-4ea7-a9cf-12d94d587976,"Grafana - ""Failed to upgrade legacy queries”"
Nordlayer,offers,594.00/month for 54 users,03bf3dc0-9d61-4b2d-a343-59a8bea10f69,Nordlayer
Nordlayer,offers,100/month for 2 servers,03bf3dc0-9d61-4b2d-a343-59a8bea10f69,Nordlayer
594.00/month for 54 users,equals,11/user/month,03bf3dc0-9d61-4b2d-a343-59a8bea10f69,Nordlayer
sudo,executes,sshfs,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,mounts,fileshare@10.132.250.58:/mnt/shared,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,mounts,/mnt/shared,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,allow_other,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,default_permissions,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,identityfile=/home/tim/id_fs,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,identityfile=/home/bucketlist/.ssh/id_fileshare,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,reconnect,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,_netdev,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,transform_symlinks,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,idmap=user,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
sshfs,uses,BatchMode=yes,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
fileshare@10.132.250.58:/mnt/shared,is mounted to,/mnt/shared,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
fileshare@10.108.0.26:/mnt/shared,is mounted to,/mnt/shared,ceac9bd9-8b48-40ec-8aa2-a327f65264b0,SSHFS
user,re-created,task definition,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
user,re-created,service,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
user,re-created,cluster,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
service,was deleted by,user,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
cluster,was deleted by,user,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
task definition,was deleted by,user,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
re-creation,resolved,issue,58cb0851-faa2-4bee-b677-62b702648fc4,Private DNS for ECR not working in ECS
SSH_AUTH_SOCK,set to,path to 1Password agent socket,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
1Password,configures,SSH agent,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
agent.toml,contains,SSH key configurations,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
SSH key configurations,include,vault settings,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
vault settings,define,access levels,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
access levels,include,Private,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
access levels,include,System Admin / Devops,36b8afab-f3fd-4b28-a9c9-653601042b7e,SSH Key Shenanigans
user,installs,opentelemetry-instrumentation-celery,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,installs,opentelemetry-instrumentation-django,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,installs,opentelemetry-exporter-otlp,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,installs,opentelemetry-sdk,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,installs,opentelemetry-api,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,activates,virtual environment,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
user,navigates to,/home/bucketlist/blcorp-virtual-env-38,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
http://tempo-query-frontend.tempo.svc.cluster.local:3100,is accessed by,user,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
https://collector.bucketlist.org/v1/traces,is accessed by,user,afb03202-8372-4458-ae52-47eaa7b5ec09,Hackathon
Check remote agent,uses,/usr/bin/check_nrpe,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
/usr/bin/check_nrpe,connects to,10.132.250.52,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
/usr/bin/check_nrpe,executes,check_users,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
/usr/bin/check_nrpe,connects to,10.118.0.15,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
/usr/bin/check_nrpe,executes,check_celery,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
API key,is created in,/home/opsgenie/oec/conf/opsgenie-integration.conf,72cc671d-1a91-4d5d-a846-cfeb968e143e,Nagios
Deployment,went well,last night,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
OS updates,completed,tonight,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
AWS,used,for tasks,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Updated,file,.env file in 1Password for develop,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Ran,tests,smoke tests,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Install,software,Falcon,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Remaining,require,database upgrades require scheduling,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Completed,task,add EC2 backups to Terraform,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Completed,support ticket for,Monique access,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Need,start working on,assignment for DevOps candidates,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
DB upgrade,had,problems,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Adding,pipeline to,js-bot directory to package artifact,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Work on,filling,open DevOps position,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Database upgrade,attempt,tomorrow,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Automated tests,were run,through the pipeline,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Bitbucket pipeline,is complete,Need to create a PR,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Bitbucket pipeline,for running,Ansible,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Begin,validation,"go through logs, etc",c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Reviewed,document,SDLC,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Wait for,tests,automated unit tests,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Review,document,SDLC,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
S3 bucket,for archiving,built artifact,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
Environment,rebuild,occurred,c0e35d3d-a028-4447-b693-62aeda8d273b,Stand-Up
deployment,had,issues,612a4a74-92c2-4091-8ee4-a8470bba1a9a,"Deployment Debrief - April 25, 2024"
deployment,had,problem,612a4a74-92c2-4091-8ee4-a8470bba1a9a,"Deployment Debrief - April 25, 2024"
deployment,was worked around,somehow,612a4a74-92c2-4091-8ee4-a8470bba1a9a,"Deployment Debrief - April 25, 2024"
CA,was,rebuilt environment,612a4a74-92c2-4091-8ee4-a8470bba1a9a,"Deployment Debrief - April 25, 2024"
US,was,old-school manual,612a4a74-92c2-4091-8ee4-a8470bba1a9a,"Deployment Debrief - April 25, 2024"
Terraform,differs from,Ansible,20a2b8f8-f4b9-4c53-98f4-0066203fa141,"Ansible Training - May 22, 2024"
Ansible,is,flexible,20a2b8f8-f4b9-4c53-98f4-0066203fa141,"Ansible Training - May 22, 2024"
Ansible,is,complex,20a2b8f8-f4b9-4c53-98f4-0066203fa141,"Ansible Training - May 22, 2024"
training material,covers,features of Ansible,20a2b8f8-f4b9-4c53-98f4-0066203fa141,"Ansible Training - May 22, 2024"
NGINX,executes,ansible-playbook nginx/tests/test.yml -i ../inventories/demo/remote.ini -e ansible_user=tim --limit=webserver:mailhog:flower:bot,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
NGINX,stops after,nginx : Copy nginx.conf,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
NGINX,requires,server restart,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
JS Bot,requires,server restart,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
JS Bot,ensures,pm2 status shows nothing running,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
JS Bot,executes,"ansible-playbook ../playbooks/bl-app/2.pre-reqs.yml -i ../inventories/demo/remote.ini -e ansible_user=tim -e build_artifact=/tmp/js-bot-30.tar.gz --start-at-task=""Create js_bot log directory""",e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
JS Bot,stops after,Enable js_bot service runs,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
JS Bot,accesses,http://localhost:3978/api/messages,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
Monitoring,executes,ansible-playbook ../playbooks/bl-app/helpers/monitoring.yml -i ../inventories/demo/remote.ini -e ansible_user=tim,e58487e1-03d2-4a05-b861-f901d7431405,Environment Sync
logs,belong to,nginx,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
avg_over_time,calculates,average request time,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
request_time,measured in,seconds,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
request_time,greater than,5 seconds,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
path,filtered by,method,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
job,identified as,nginx,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
host,selected as,$selected_host,b5f750a1-81b9-4d18-8f0d-1320435f1d22,NGINX Logs
CA,scheduled for,October 12,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
US,scheduled for,October 19 or October 26,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
Paul,created,tentative schedule,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
tentative schedule,includes,Django Upgrade deployment,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
Django Upgrade deployment,scheduled for,September 25,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
CA or Demo AWS Migration,scheduled for,window between September 28 and October 6,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
Normal Deploy,scheduled for,October 9,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
CHS Migration on DO,scheduled for,window between September 26 and October 17,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
US AWS Migration,scheduled for,October 19,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
CHS Migration,planned for,October 2/3,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
Demo,scheduled for,October 15 or 16,10cd6cfe-c999-8017-b693-f30325c0e4f0,Production Timeline
Redis,tracks,number of active tasks,135d6cfe-c999-809e-9cc4-f468e6fa6b99,Containerization
kubectl,get secret,argo-cd-initial-admin-secret,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
kubectl,change namespace,k6,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
kubectl,create configmap,demo,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
helm,dependency update,./argo-cd/chart,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
helm,upgrade --install,argo-cd,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
helm,upgrade --install,k6,137d6cfe-c999-8063-b03c-ed5b3a396913,EKS Build Log
curl command,requests,authentication token,129d6cfe-c999-808f-919d-de6a8d8ab446,MS Teams Bot
